,symbol,MIS_margin_X_times,CNC_margin_X_times
1289,SEZAL,0,1
1290,SFL,10,3
1291,SGL,0,1
1292,SHAHALLOYS,0,1
1293,SHAKTIPUMP,0,1
1294,SHALBY,7,2
1295,SHALPAINTS,1,1
1296,SHANKARA,10,2
1297,SHANTIGEAR,7,1
1298,SHARDACROP,10,3
1299,SHARDAMOTR,7,2
1300,SHAREINDIA,1,2
1301,SHEMAROO,0,1
1302,SHIL,5,2
1303,SHILPAMED,10,2
1304,SHIRPUR-G,0,1
1305,SHIVAMAUTO,1,1
1306,SHIVAMILLS,1,1
1307,SHIVATEX,7,2
1308,SHK,10,2
1309,SHOPERSTOP,10,3
1310,SHREDIGCEM,7,2
1311,SHREECEM,10,3
1312,SHREEPUSHK,7,2
1313,SHREERAMA,0,1
1314,SHREYANIND,7,2
1315,SHREYAS,1,1
1316,SHRIRAMCIT,10,3
1317,SHRIRAMEPC,0,1
1318,SHYAMCENT,0,1
1319,SHYAMTEL,0,1
1320,SICAGEN,1,1
1321,SICAL,0,1
1322,SIEMENS,10,3
1323,SIGIND,1,2
1324,SIL,0,1
1325,SILINV,1,2
1326,SIMBHALS,0,1
1327,SIMPLEXINF,1,1
1328,SINTEX,0,1
1329,SIS,10,3
1330,SITINET,0,1
1331,SIYSIL,7,1
1332,SJVN,10,3
1333,SKFINDIA,10,3
1334,SKIL,0,1
1335,SKIPPER,7,2
1336,SKMEGGPROD,7,2
1337,SMARTLINK,0,1
1338,SMLISUZU,10,3
1339,SMPL,0,1
1340,SMSLIFE,7,2
1341,SMSPHARMA,1,1
1342,SNOWMAN,10,2
1343,SOBHA,10,3
1344,SOLARA,10,2
1345,SOLARINDS,10,3
1346,SOMANYCERA,10,2
1347,SOMATEX,0,1
1348,SOMICONVEY,7,2
1349,SONATSOFTW,10,3
1350,SORILINFRA,7,2
1351,SOTL,7,1
1352,SOUTHBANK,0,1
1353,SPAL,7,2
1354,SPANDANA,10,3
1355,SPARC,10,2
1356,SPECIALITY,7,2
1357,SPENCERS,10,2
1358,SPENTEX,0,1
1359,SPIC,1,1
1360,SPICEJET,10,2
1361,SPLIL,7,2
